"donor","transcript_id","cell_type","gene_id","is_significant_hit","condition","n_cells_donor","raw_count","gene_total_count","psi","padj_gene","padj_tx","delta_psi","n_cells_expressing_gene"
"SMC038","NTRK2-211","Astrocyte","NTRK2",FALSE,"AD",244,18,102,0.176470588235294,NA,NA,NA,16
"SMC039","NTRK2-211","Astrocyte","NTRK2",FALSE,"AD",158,0,0,NA,NA,NA,NA,1
"SMC041","NTRK2-211","Astrocyte","NTRK2",FALSE,"AD",22,0,0,NA,NA,NA,NA,0
"SMC043","NTRK2-211","Astrocyte","NTRK2",FALSE,"AD",653,0,129,0,NA,NA,NA,2
"SMC049","NTRK2-211","Astrocyte","NTRK2",FALSE,"AD",304,3,54,0.0555555555555556,NA,NA,NA,14
"PO13","NTRK2-211","Astrocyte","NTRK2",FALSE,"Control",55,0,19,0,NA,NA,NA,3
"PO15","NTRK2-211","Astrocyte","NTRK2",FALSE,"Control",150,3,105,0.0285714285714286,NA,NA,NA,33
"PO20","NTRK2-211","Astrocyte","NTRK2",FALSE,"Control",131,2,7,0.285714285714286,NA,NA,NA,6
"PO23","NTRK2-211","Astrocyte","NTRK2",FALSE,"Control",116,3,26,0.115384615384615,NA,NA,NA,8
"SMC027","NTRK2-211","Astrocyte","NTRK2",FALSE,"Control",445,13,1293,0.0100541376643465,NA,NA,NA,107
"SMC030","NTRK2-211","Astrocyte","NTRK2",FALSE,"Control",245,1,48,0.0208333333333333,NA,NA,NA,28
"SMC033","NTRK2-211","Astrocyte","NTRK2",FALSE,"Control",524,0,2,0,NA,NA,NA,5
"SMC052","NTRK2-211","Astrocyte","NTRK2",FALSE,"Control",130,0,2,0,NA,NA,NA,2
"PO05","NTRK2-225","Astrocyte","NTRK2",FALSE,"AD",294,3,36,0.0833333333333333,NA,NA,NA,16
"PO11","NTRK2-225","Astrocyte","NTRK2",FALSE,"AD",183,1,2,0.5,NA,NA,NA,2
"PO28","NTRK2-225","Astrocyte","NTRK2",FALSE,"AD",152,1,20,0.05,NA,NA,NA,15
"PO41","NTRK2-225","Astrocyte","NTRK2",FALSE,"AD",294,8,138,0.0579710144927536,NA,NA,NA,39
"PO42","NTRK2-225","Astrocyte","NTRK2",FALSE,"AD",688,0,9,0,NA,NA,NA,12
"SMC029","NTRK2-225","Astrocyte","NTRK2",FALSE,"AD",192,0,11,0,NA,NA,NA,7
"SMC032","NTRK2-225","Astrocyte","NTRK2",FALSE,"AD",64,0,18,0,NA,NA,NA,5
"SMC036","NTRK2-225","Astrocyte","NTRK2",FALSE,"AD",78,0,0,NA,NA,NA,NA,0
"SMC038","NTRK2-225","Astrocyte","NTRK2",FALSE,"AD",244,27,102,0.264705882352941,NA,NA,NA,16
"SMC039","NTRK2-225","Astrocyte","NTRK2",FALSE,"AD",158,0,0,NA,NA,NA,NA,1
"SMC041","NTRK2-225","Astrocyte","NTRK2",FALSE,"AD",22,0,0,NA,NA,NA,NA,0
"SMC043","NTRK2-225","Astrocyte","NTRK2",FALSE,"AD",653,0,129,0,NA,NA,NA,2
"SMC049","NTRK2-225","Astrocyte","NTRK2",FALSE,"AD",304,0,54,0,NA,NA,NA,14
"PO13","NTRK2-225","Astrocyte","NTRK2",FALSE,"Control",55,0,19,0,NA,NA,NA,3
"PO15","NTRK2-225","Astrocyte","NTRK2",FALSE,"Control",150,34,105,0.323809523809524,NA,NA,NA,33
"PO20","NTRK2-225","Astrocyte","NTRK2",FALSE,"Control",131,1,7,0.142857142857143,NA,NA,NA,6
"PO23","NTRK2-225","Astrocyte","NTRK2",FALSE,"Control",116,5,26,0.192307692307692,NA,NA,NA,8
"SMC027","NTRK2-225","Astrocyte","NTRK2",FALSE,"Control",445,165,1293,0.127610208816705,NA,NA,NA,107
"SMC030","NTRK2-225","Astrocyte","NTRK2",FALSE,"Control",245,15,48,0.3125,NA,NA,NA,28
"SMC033","NTRK2-225","Astrocyte","NTRK2",FALSE,"Control",524,0,2,0,NA,NA,NA,5
"SMC052","NTRK2-225","Astrocyte","NTRK2",FALSE,"Control",130,0,2,0,NA,NA,NA,2
"PO05","NTRK2-236","Astrocyte","NTRK2",TRUE,"AD",294,9,36,0.25,0.0210709448159543,0.0421418896319086,0.270879549979097,16
"PO11","NTRK2-236","Astrocyte","NTRK2",TRUE,"AD",183,0,2,0,0.0210709448159543,0.0421418896319086,0.270879549979097,2
"PO28","NTRK2-236","Astrocyte","NTRK2",TRUE,"AD",152,1,20,0.05,0.0210709448159543,0.0421418896319086,0.270879549979097,15
"PO41","NTRK2-236","Astrocyte","NTRK2",TRUE,"AD",294,29,138,0.210144927536232,0.0210709448159543,0.0421418896319086,0.270879549979097,39
"PO42","NTRK2-236","Astrocyte","NTRK2",TRUE,"AD",688,1,9,0.111111111111111,0.0210709448159543,0.0421418896319086,0.270879549979097,12
"SMC029","NTRK2-236","Astrocyte","NTRK2",TRUE,"AD",192,0,11,0,0.0210709448159543,0.0421418896319086,0.270879549979097,7
"SMC032","NTRK2-236","Astrocyte","NTRK2",TRUE,"AD",64,0,18,0,0.0210709448159543,0.0421418896319086,0.270879549979097,5
"SMC036","NTRK2-236","Astrocyte","NTRK2",TRUE,"AD",78,0,0,NA,0.0210709448159543,0.0421418896319086,0.270879549979097,0
"SMC038","NTRK2-236","Astrocyte","NTRK2",TRUE,"AD",244,14,102,0.137254901960784,0.0210709448159543,0.0421418896319086,0.270879549979097,16
"SMC039","NTRK2-236","Astrocyte","NTRK2",TRUE,"AD",158,0,0,NA,0.0210709448159543,0.0421418896319086,0.270879549979097,1
"SMC041","NTRK2-236","Astrocyte","NTRK2",TRUE,"AD",22,0,0,NA,0.0210709448159543,0.0421418896319086,0.270879549979097,0
"SMC043","NTRK2-236","Astrocyte","NTRK2",TRUE,"AD",653,129,129,1,0.0210709448159543,0.0421418896319086,0.270879549979097,2
"SMC049","NTRK2-236","Astrocyte","NTRK2",TRUE,"AD",304,11,54,0.203703703703704,0.0210709448159543,0.0421418896319086,0.270879549979097,14
"PO13","NTRK2-236","Astrocyte","NTRK2",TRUE,"Control",55,0,19,0,0.0210709448159543,0.0421418896319086,0.270879549979097,3
"PO15","NTRK2-236","Astrocyte","NTRK2",TRUE,"Control",150,15,105,0.142857142857143,0.0210709448159543,0.0421418896319086,0.270879549979097,33
"PO20","NTRK2-236","Astrocyte","NTRK2",TRUE,"Control",131,0,7,0,0.0210709448159543,0.0421418896319086,0.270879549979097,6
"PO23","NTRK2-236","Astrocyte","NTRK2",TRUE,"Control",116,0,26,0,0.0210709448159543,0.0421418896319086,0.270879549979097,8
"SMC027","NTRK2-236","Astrocyte","NTRK2",TRUE,"Control",445,41,1293,0.0317092034029389,0.0210709448159543,0.0421418896319086,0.270879549979097,107
"SMC030","NTRK2-236","Astrocyte","NTRK2",TRUE,"Control",245,0,48,0,0.0210709448159543,0.0421418896319086,0.270879549979097,28
"SMC033","NTRK2-236","Astrocyte","NTRK2",TRUE,"Control",524,0,2,0,0.0210709448159543,0.0421418896319086,0.270879549979097,5
"SMC052","NTRK2-236","Astrocyte","NTRK2",TRUE,"Control",130,0,2,0,0.0210709448159543,0.0421418896319086,0.270879549979097,2
"PO05","NTRK2-237","Astrocyte","NTRK2",FALSE,"AD",294,5,36,0.138888888888889,NA,NA,NA,16
"PO11","NTRK2-237","Astrocyte","NTRK2",FALSE,"AD",183,0,2,0,NA,NA,NA,2
"PO28","NTRK2-237","Astrocyte","NTRK2",FALSE,"AD",152,4,20,0.2,NA,NA,NA,15
"PO41","NTRK2-237","Astrocyte","NTRK2",FALSE,"AD",294,11,138,0.0797101449275362,NA,NA,NA,39
"PO42","NTRK2-237","Astrocyte","NTRK2",FALSE,"AD",688,1,9,0.111111111111111,NA,NA,NA,12
"SMC029","NTRK2-237","Astrocyte","NTRK2",FALSE,"AD",192,5,11,0.454545454545455,NA,NA,NA,7
"SMC032","NTRK2-237","Astrocyte","NTRK2",FALSE,"AD",64,3,18,0.166666666666667,NA,NA,NA,5
"SMC036","NTRK2-237","Astrocyte","NTRK2",FALSE,"AD",78,0,0,NA,NA,NA,NA,0
"SMC038","NTRK2-237","Astrocyte","NTRK2",FALSE,"AD",244,0,102,0,NA,NA,NA,16
"SMC039","NTRK2-237","Astrocyte","NTRK2",FALSE,"AD",158,0,0,NA,NA,NA,NA,1
"SMC041","NTRK2-237","Astrocyte","NTRK2",FALSE,"AD",22,0,0,NA,NA,NA,NA,0
"SMC043","NTRK2-237","Astrocyte","NTRK2",FALSE,"AD",653,0,129,0,NA,NA,NA,2
"SMC049","NTRK2-237","Astrocyte","NTRK2",FALSE,"AD",304,7,54,0.12962962962963,NA,NA,NA,14
"PO13","NTRK2-237","Astrocyte","NTRK2",FALSE,"Control",55,0,19,0,NA,NA,NA,3
"PO15","NTRK2-237","Astrocyte","NTRK2",FALSE,"Control",150,21,105,0.2,NA,NA,NA,33
"PO20","NTRK2-237","Astrocyte","NTRK2",FALSE,"Control",131,0,7,0,NA,NA,NA,6
"PO23","NTRK2-237","Astrocyte","NTRK2",FALSE,"Control",116,9,26,0.346153846153846,NA,NA,NA,8
