gene_id,cell_type,log2FC,pval,padj,score
CHD1-DT,Vascular_cell,1.8055583,0.49896229860376107,0.9849978674961947,0.6761234
TNRC6C,Vascular_cell,0.9125626,0.49896229860376107,0.9849978674961947,0.6761234
MKNK1,Vascular_cell,0.98722553,0.49896229860376107,0.9849978674961947,0.6761234
LRP6,Vascular_cell,1.010062,0.49896229860376107,0.9849978674961947,0.6761234
SEC24C,Vascular_cell,0.886435,0.49896229860376107,0.9849978674961947,0.6761234
KDM3B,Vascular_cell,1.0568403,0.49896229860376107,0.9849978674961947,0.6761234
TAOK2,Vascular_cell,0.8989562,0.49896229860376107,0.9849978674961947,0.6761234
MPP1,Vascular_cell,1.3174275,0.49896229860376107,0.9849978674961947,0.6761234
BEAN1,Vascular_cell,0.99798167,0.49896229860376107,0.9849978674961947,0.6761234
CCDC144A,Vascular_cell,1.5013885,0.49896229860376107,0.9849978674961947,0.6761234
ATP6V1E1,Vascular_cell,0.89202654,0.49896229860376107,0.9849978674961947,0.6761234
MAFF,Vascular_cell,1.2105871,0.49896229860376107,0.9849978674961947,0.6761234
GPRIN3,Vascular_cell,1.323586,0.49896229860376107,0.9849978674961947,0.6761234
CCND3,Vascular_cell,1.0156156,0.49896229860376107,0.9849978674961947,0.6761234
LTO1,Vascular_cell,1.5763413,0.49896229860376107,0.9849978674961947,0.6761234
U2AF1,Vascular_cell,0.98228335,0.49896229860376107,0.9849978674961947,0.6761234
EMC7,Vascular_cell,1.5933771,0.49896229860376107,0.9849978674961947,0.6761234
NRP1,Vascular_cell,0.54622537,0.49896229860376107,0.9849978674961947,0.6761234
UBA52,Vascular_cell,1.3663863,0.49896229860376107,0.9849978674961947,0.6761234
CCAR1,Vascular_cell,0.33768746,0.49896229860376107,0.9849978674961947,0.6761234
FBXW7,Vascular_cell,0.9643018,0.49896229860376107,0.9849978674961947,0.6761234
PARVB,Vascular_cell,0.8017114,0.49896229860376107,0.9849978674961947,0.6761234
ACVRL1,Vascular_cell,0.40455258,0.49896229860376107,0.9849978674961947,0.6761234
MORC2,Vascular_cell,1.2201718,0.49896229860376107,0.9849978674961947,0.6761234
IMPA1,Vascular_cell,0.8795767,0.49896229860376107,0.9849978674961947,0.6761234
