"donor","transcript_id","cell_type","gene_id","is_significant_hit","condition","n_cells_donor","raw_count","gene_total_count","psi","padj_gene","padj_tx","delta_psi","n_cells_expressing_gene"
"PO20","CAMK2B-225","Excitatory_neuron","CAMK2B",FALSE,"Control",1454,2,44,0.0454545454545455,NA,NA,NA,33
"PO23","CAMK2B-225","Excitatory_neuron","CAMK2B",FALSE,"Control",1605,0,538,0,NA,NA,NA,318
"SMC027","CAMK2B-225","Excitatory_neuron","CAMK2B",FALSE,"Control",129,0,115,0,NA,NA,NA,31
"SMC030","CAMK2B-225","Excitatory_neuron","CAMK2B",FALSE,"Control",915,1,153,0.0065359477124183,NA,NA,NA,122
"SMC033","CAMK2B-225","Excitatory_neuron","CAMK2B",FALSE,"Control",2797,0,509,0,NA,NA,NA,262
"SMC052","CAMK2B-225","Excitatory_neuron","CAMK2B",FALSE,"Control",4785,0,886,0,NA,NA,NA,346
"PO05","CAMK2B-226","Excitatory_neuron","CAMK2B",FALSE,"AD",1197,0,47,0,NA,NA,NA,42
"PO11","CAMK2B-226","Excitatory_neuron","CAMK2B",FALSE,"AD",1165,0,47,0,NA,NA,NA,37
"PO28","CAMK2B-226","Excitatory_neuron","CAMK2B",FALSE,"AD",1851,0,302,0,NA,NA,NA,193
"PO41","CAMK2B-226","Excitatory_neuron","CAMK2B",FALSE,"AD",973,0,168,0,NA,NA,NA,119
"PO42","CAMK2B-226","Excitatory_neuron","CAMK2B",FALSE,"AD",1303,0,37,0,NA,NA,NA,30
"SMC029","CAMK2B-226","Excitatory_neuron","CAMK2B",FALSE,"AD",150,2,16,0.125,NA,NA,NA,8
"SMC032","CAMK2B-226","Excitatory_neuron","CAMK2B",FALSE,"AD",578,0,88,0,NA,NA,NA,64
"SMC036","CAMK2B-226","Excitatory_neuron","CAMK2B",FALSE,"AD",206,0,42,0,NA,NA,NA,9
"SMC038","CAMK2B-226","Excitatory_neuron","CAMK2B",FALSE,"AD",1640,24,1250,0.0192,NA,NA,NA,313
"SMC039","CAMK2B-226","Excitatory_neuron","CAMK2B",FALSE,"AD",413,0,35,0,NA,NA,NA,10
"SMC041","CAMK2B-226","Excitatory_neuron","CAMK2B",FALSE,"AD",1746,14,322,0.0434782608695652,NA,NA,NA,66
"SMC043","CAMK2B-226","Excitatory_neuron","CAMK2B",FALSE,"AD",105,0,2,0,NA,NA,NA,2
"SMC049","CAMK2B-226","Excitatory_neuron","CAMK2B",FALSE,"AD",4070,4,4021,0.000994777418552599,NA,NA,NA,1264
"PO13","CAMK2B-226","Excitatory_neuron","CAMK2B",FALSE,"Control",777,0,14,0,NA,NA,NA,12
"PO15","CAMK2B-226","Excitatory_neuron","CAMK2B",FALSE,"Control",744,1,146,0.00684931506849315,NA,NA,NA,105
"PO20","CAMK2B-226","Excitatory_neuron","CAMK2B",FALSE,"Control",1454,0,44,0,NA,NA,NA,33
"PO23","CAMK2B-226","Excitatory_neuron","CAMK2B",FALSE,"Control",1605,0,538,0,NA,NA,NA,318
